name,description,brewery,real,createdAt,abv,type
Oude Kriek Intens Rood Blend No. 78,"Nyanserad, mycket syrlig smak med inslag av fat, körsbär, mandel, skogshallon, choklad och blodapelsin.",3 Fonteinen,true,2026-03-14T00:00:00,4.4,Lager
Frambozenlambik Blend No. 13,,3 Fonteinen,true,2026-03-14T00:00:00,4.7,Lager
Zenne y Frontera Blend No. 93,,3 Fonteinen,true,2026-03-14T00:00:00,4.9,Lager
Druif Grolleau x Hauts Baigneux (season 22|23) Blend No. 29,,3 Fonteinen,true,2026-03-14T00:00:00,4.2,Lager
Langste Kook Season 21|22 Blend No. 42,,3 Fonteinen,true,2026-03-14T00:00:00,4.2,Lager
3 Fonteinen Hommage Season 18|19 Blend No. 57,,3 Fonteinen,true,2026-03-14T00:00:00,5,Lager
Hommage season 17|18 Blend No. 28,,3 Fonteinen,true,2026-03-14T00:00:00,5,Lager
Hommage season 19|20 Blend No. 72,,3 Fonteinen,true,2026-03-14T00:00:00,4.8,Lager
Frambozenlambik Oogst 2019 season 19|20 Blend No. 33,,3 Fonteinen,true,2026-03-14T00:00:00,5.1,Lager
Braambes Oogst 2021 season 21|22 Blend No. 49,,3 Fonteinen,true,2026-03-14T00:00:00,4.9,Lager
Wijnbergperzik,"Karaktärsfull, fruktig, mycket syrlig smak med inslag av persika, halm, jordgubbar, ljust bröd och marsipan.",3 Fonteinen,true,2026-03-14T00:00:00,4.2,Lager
Armand & Gaston,"Karaktärsfull, mycket syrlig smak med inslag av fat, torkade äpplen, aprikos, apelsin, nötter och halm.",3 Fonteinen,true,2026-03-14T00:00:00,5,Lager
Intens Rood,,3 Fonteinen,true,2026-03-14T00:00:00,4.3,Lager
Silent Night,"Nyanserad, maltig, söt smak med inslag av kavring, kaffe, vanilj, dadlar, kakao och nougat.",3 Sons Brewing,true,2026-03-14T00:00:00,4.1,Lager
Pale Ale,"Humlearomatisk smak med tydlig beska, inslag av aprikos, tallbarr, passionsfrukt och grapefruktskal.",Bryggverket,true,2026-03-14T00:00:00,5.2,Pale Ale
Sip Happens,"Fruktig smak med liten sötma, inslag av torkade aprikoser, mango, apelsin och knäckebröd.",Aktiebolaget Femman,true,2026-03-14T00:00:00,4.4,Lager
Aktiebolaget Femman,"Maltig smak med inslag av knäckebröd, apelsin, timjan och honung.",Aktiebolaget Femman,true,2025-12-08T00:00:00,4.9,Ale
Aktiebolaget Femma,"Maltig smak med inslag av knäckebröd, timjan, honung och apelsin.",Aktiebolaget Femman,true,2026-03-14T00:00:00,5,Lager
Gone Fishing,"Fruktig, humlearomatisk smak med tydlig beska, inslag av mango, ananas, ambrosiakaka, rosmarin och grapefrukt.",7Brewsters,true,2026-03-14T00:00:00,5,Lager
A Ship full of IPA,,Brutal Brewing,true,2018-06-27T00:00:00,5.8,Ale
The Vitalians,"Maltig, rostad smak med tydlig beska, inslag av kavring, katrinplommon, kakao, kaffe, pomerans och lakrits.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,4.8,Lager
EKG,"Maltig smak med tydlig beska, inslag av mörkt bröd, sirap, choklad, tobak och pomerans.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,4,Lager
"Kiss me, Hardy","Maltig, något syrlig smak med liten sälta, inslag av ljust bröd, halm och grapefrukt.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,4.9,Lager
Gamla Stans Fisk,,A couple of Beer Barons AB,true,2026-03-14T00:00:00,4.5,Lager
Tellicherry Lemonade,"Fruktig, syrlig smak med liten sälta och tydlig karaktär av citron och svartpeppar, inslag av ljust bröd och lakrits.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,5.3,Lager
Forever Now,"Maltig, något humlearomatisk smak med tydlig beska, inslag av knäckebröd, grapefruktskal, örter och mango.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,4.8,Lager
Rice and Shine,"Maltig smak med inslag av ljust bröd, jasminris, honung och citrus.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,4.4,Lager
Oberoende Extra Special Bitter,"Nyanserad, maltig smak med inslag av fruktkaka, aprikos, nötter, apelsin, kryddor och choklad.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,5.3,Lager
Apple Pie Gose,"Fruktig, syrlig smak med liten sälta, inslag av röda äpplen, sockerkaka, kanel och vanilj.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,4.6,Gose
Körsbärsrök,"Maltig, rostad smak med sötma, inslag av kavring, choklad, vanilj, körsbär, citrusskal och kryddor. Ton av rök.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,4.4,Lager
Dark Mild,"Maltig smak med inslag av kavring, mörk choklad, dadlar, apelsin, tobak och nötter.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,4.1,Lager
Tropical Split,"Maltig, söt, rostad smak med inslag av mjuk chokladkaka, nötter, ananas, kaffe och gräddkola.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,4.7,Lager
The Vitalians II,"Maltig, rostad smak med inslag av pumpernickel, kakao, kaffe, romrussin, tobak, lakrits, nötter och apelsin.",A couple of Beer Barons AB,true,2026-03-14T00:00:00,4.5,Lager
KBA 434 Lager,"Maltig, något knäckig smak med inslag av sirapslimpa, honung och apelsinskal.",AKiA Brygghus,true,2026-03-14T00:00:00,4,Lager
Rättskaffens Rökporter,"Smakrik, maltig, rökig öl med inslag av pumpernickel, espressokaffe, russin, charkuterier, enbär, peppar, lakrits och mörk sirap.",AKiA Brygghus,true,2026-03-14T00:00:00,5.7,Porter
KBA Pilsner,"Maltig smak med inslag av ljust bröd, honung, ananas, citrus och örter.",AKiA Brygghus,true,2026-03-14T00:00:00,5.5,Pilsner
Kba lygnern pilsner,"Maltig smak med inslag av ljust bröd, aprikos, örter, honung och citrus.",AKiA Brygghus,true,2026-03-14T00:00:00,5.1,Pilsner
AKiA Oberoende Imperial Patsry Stout,"Maltig, söt smak med inslag av vörtbröd, blåbär, choklad och vanilj.",AKiA Brygghus,true,2026-03-14T00:00:00,6.1,Stout
THE PASSENGER,"Maltig smak med tydlig beska, inslag av ljust bröd, mango, apelsinskal och tallkåda.",AKiA Brygghus,true,2026-03-14T00:00:00,5.4,Lager
Zipper,"Fruktig, humlearomatisk smak med liten sötma, inslag av ananas, passionsfrukt, granskott, sockerkaka och grapefrukt.",AKiA Brygghus,true,2026-03-14T00:00:00,5.1,Lager
Genuine KBA Pilsner,"Maltig smak med inslag av ljust knäckebröd, citronskal, örter och honung.",AKiA Brygghus,true,2026-03-14T00:00:00,4.9,Pilsner
Four shades of DIPA,"Fruktig, humlearomatisk smak med tydlig beska och liten sötma, inslag av ananas, mango, ljust bröd, grapefrukt, tallkåda och passionsfrukt.",AKiA Brygghus,true,2026-03-14T00:00:00,7.7,Double IPA
Juleøl Vellagret,"Nyanserad, maltig smak med sötma, inslag av torkade fikon, choklad, kavring, kaffe, rostade nötter, kanel och pomerans.",Aass Bryggeri,true,2026-03-14T00:00:00,4.9,Lager
Juleøl,"Nyanserad, maltig smak med liten sötma, inslag av vörtbröd, torkade fikon, mörk sirap, kryddor och pomerans.",Aass Bryggeri,true,2026-03-14T00:00:00,5.4,Lager
Christmas Triple Ale,"Nyanserad, fruktig smak med liten sötma, inslag av fruktkaka, torkade aprikoser, pomerans, kryddnejlika, dadlar, choklad och nötter.",Brasserie de l'Abbaye d'Aulne,true,2026-03-14T00:00:00,8.6,Tripel
Brune,,Brasserie du Val de Sambre,true,2026-03-14T00:00:00,4,Lager
Cuvée Royale,,Brasserie du Val de Sambre,true,2026-03-14T00:00:00,4.7,Lager
Vreta kloster bryggeri,"Nyanserad smak med sötma, inslag av vörtbröd, katrinplommon, choklad, torkade fikon, mörk sirap, nötter och pomerans.",Vreta Kloster Bryggeri,true,2024-05-06T00:00:00,5.6,Ale
Blueberry,"Bärig, nyanserad, syrlig smak med inslag av blåbär, färska örter, plommon, gräddkola, halm och ljust bröd.",Ability Brewing,true,2026-03-14T00:00:00,4.2,Lager
Cherry,"Bärig, mycket syrlig smak med tydlig karaktär av körsbär, inslag av halm, ljust bröd och mandel.",Ability Brewing,true,2026-03-14T00:00:00,5.4,Lager
Black Currant,"Bärig, mycket syrlig smak med inslag av svarta vinbär, ljust bröd, vanilj och citrus.",Ability Brewing,true,2026-03-14T00:00:00,4.7,Lager
Double Mash Imperial Stout,"Nyanserad, maltig smak med sötma, inslag av kavring, romrussin, mörk sirap, kakao, tobak, lakritsfudge, kaffe, peppar och nötter.",Ability Brewing,true,2026-03-14T00:00:00,8.8,Imperial Stout
Double Mash Vanilla Imperial Stout,"Maltig, nyanserad, rostad, söt smak med inslag av pumpernickel, chokladpralin, sirap,  kaffe, farinsocker, vanilj, nötter och kryddor.",Ability Brewing,true,2026-03-14T00:00:00,10.1,Imperial Stout
Imperial Wild Raspberry Braggot,,Ability Brewing,true,2026-03-14T00:00:00,4.6,Lager
Vellinge Pilsner,"Maltig smak med tydlig beska, inslag av ljust bröd, timjan och citrusskal.",Ability Brewing,true,2026-03-14T00:00:00,5.1,Pilsner
YNWA,,Ability Brewing,true,2026-03-14T00:00:00,4,Lager
Abrakadabra,"Maltig, rostad smak med liten sötma, inslag av choklad, kaffe, kavring, katrinplommon och lakrits.",Qvänum Mat & Malt,true,2019-04-01T00:00:00,7.3,Porter & Stout
Helles Lager,"Maltig, något rökig smak med inslag av ljust knäckebröd, örter, honung, tobak, charkuterier och citrus.",Schlenkerla,true,2026-03-14T00:00:00,5.5,Lager
Urbock,"Maltig, rökig smak med inslag av sirapslimpa, torkad frukt, charkuterier, choklad, nötter, tobak och pomerans.",Schlenkerla,true,2026-03-14T00:00:00,7.6,Bock
Eiche Doppelbock,"Nyanserad, maltig, tydligt rökig smak med inslag av sirapslimpa, aprikosmarmelad, charkuterier, apelsin och farinsocker.",Schlenkerla,true,2026-03-14T00:00:00,6,Bock
Affligem Blond,"Fruktig, nyanserad smak med liten sötma, inslag av aprikosmarmelad, fruktkaka, honung, kryddnejlika och apelsinskal.",Alken-Maes,true,2026-03-14T00:00:00,4.5,Blonde Ale
Against the Grain,,Wold Top Brewery,true,2026-03-14T00:00:00,5.1,Lager
Julöl,"Maltig, något rostad smak med inslag av kavring, russin, choklad, mörk sirap och nötter.",Ahlafors Bryggerier,true,2025-11-03T00:00:00,7.5,Ale
Artisan Lager,,Ahlafors Bryggerier,true,2026-03-14T00:00:00,5.3,Lager
Imperator,"Maltig, rostad, söt smak med inslag av kavring, torkad frukt, mörk choklad, romrussin, espressokaffe, nötter och apelsin.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,5.1,Lager
IPA,"Något humlearomatisk smak med inslag av knäckebröd, honung, timjan och citrus.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,5.5,India Pale Ale
Lager,"Maltig smak med inslag av knäckebröd, apelsinmarmelad, honung, ljus sirap, grapefrukt och örter.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,4.1,Lager
Ljus Lager,"Maltig doft med inslag av ljust knäckebröd, honung, örter och apelsinskal.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,5.2,Lager
Into the Deep,"Humlearomatisk smak med tydlig beska och liten sötma, inslag av aprikosmarmelad, ananas, tallbarr, sockerkaka, passionsfrukt och grapefrukt.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,5.4,Lager
Fortis Aurum,"Maltig smak med liten sötma, inslag av ljust bröd, honung, kryddor, skumbanan och torkade aprikoser.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,4.7,Lager
Bohemian Pilsner,"Maltig smak med inslag av mörkt knäckebröd, torkade aprikoser och pomerans.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,4.8,Pilsner
Porter,"Nyanserad, maltig smak med inslag av kavring, mörk choklad, kaffe, torkad frukt, nötter, lakrits och apelsin.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,6.7,Porter
Helles Bock,"Maltig smak med liten sötma, inslag av knäckebröd, ljus sirap, apelsinskal, honung, torkad frukt och örter.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,7.1,Bock
Altbier SOB,"Maltig smak med inslag av sirapslimpa, torkade aprikoser, nötter, choklad och pomerans.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,4.6,Lager
Barley Wine,"Nyanserad smak med liten sötma, inslag av fat, torkade fikon, ljus sirap, fruktkaka, nötter, röda äpplen, kryddor och choklad.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,11.9,Barleywine
Skagerrak Pils,,Ahlafors Bryggerier,true,2026-03-14T00:00:00,4.8,Pilsner
JubileumsIPA,"Humlearomatisk smak med inslag av grapefrukt, passionsfrukt, ljust bröd och örter.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,5.9,India Pale Ale
Dämmerung,,Ahlafors Bryggerier,true,2026-03-14T00:00:00,4.5,Lager
Best Bitter,,Ahlafors Bryggerier,true,2026-03-14T00:00:00,5.5,Lager
Britt,"Maltig smak med tydlig beska, inslag av sirapslimpa, torkad frukt, choklad, knäck, pomerans och örter.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,4,Lager
Påskale,"Nyanserad smak med tydlig beska, inslag av fruktkaka, nötter, torkade aprikoser, apelsinskal, honung och kryddor.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,4.2,Lager
Heritage,"Maltig smak med inslag av rågbröd, torkad frukt, knäck, apelsinskal och kryddor.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,4.4,Lager
Hoppy Threads IPA,"Humlearomatisk smak med tydlig beska, inslag av passionsfrukt, tallbarr, ananas, sockerkaka och grapefrukt.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,6.1,India Pale Ale
American Pale Ale,"Maltig, något humlearomatisk smak med tydlig beska, inslag av mörkt knäckebröd, torkade aprikoser, tallkåda, apelsinskal och smörkola.",Ahlafors Bryggerier,true,2026-03-14T00:00:00,5.9,Pale Ale
Wyrmling,"Humlearomatisk smak med inslag av grapefrukt, timjan, ljust bröd och ananas.",Aktiebolaget Femman,true,2026-03-14T00:00:00,4.3,Lager
Kloster Dunkel,"Nyanserad, maltig smak med inslag av kavring, torkade fikon, choklad, apelsin och knäck.",Brauerei Aldersbach,true,2026-03-14T00:00:00,5.3,Lager
Maibock,"Maltig smak med inslag av knäckebröd, apelsin, aprikos, honung och färska örter.",Brauerei Aldersbach,true,2026-03-14T00:00:00,7.7,Bock
Nut Brown Ale,"Nyanserad, maltig smak med inslag av kavring, espressokaffe, torkade fikon, rostade mandlar, lakritsrot och kakao.",AleSmith Brewing Company,true,2026-03-14T00:00:00,6.2,Brown Ale
Reason to Give,,Alefarm Brewing,true,2026-03-14T00:00:00,5.3,Lager
Escape,"Maltig smak med tydlig beska, inslag av mörkt knäckebröd, timjan, aprikos och citrusskal.",En Aleigen Brewery,true,2026-03-14T00:00:00,5.5,Lager
Barrel-aged Speedway Stout: Hammerhead Edition,,AleSmith Brewing Company,true,2026-03-14T00:00:00,8,Stout
Rhino Suit,"Nyanserad, maltig, rostad, söt smak med inslag av fat, kavring, mörk choklad, katrinplommon, kaffe, dadlar, apelsin och vaniljkola.",Alesong Brewing,true,2026-03-14T00:00:00,5.3,Lager
Double Barrel Oak & Ember,,Alesong Brewing,true,2026-03-14T00:00:00,4.4,Lager
Cinnamon Roll Maestro,,Alesong Brewing,true,2026-03-14T00:00:00,4.7,Lager
Reserva,"Maltig smak med liten sötma, inslag av mörkt knäckebröd, aprikos, honung och apelsin.",Mahou San Miguel Brewery,true,2026-03-14T00:00:00,5.1,Lager
Roja,"Nyanserad, maltig smak med sötma, inslag av mörkt bröd, torkad frukt, ljus sirap, choklad, nötter och pomerans.",Mahou San Miguel Brewery,true,2026-03-14T00:00:00,4,Lager
Alhambra Reserva 1925,"Maltig smak med inslag av knäckebröd, ljus sirap, örter och mandarin.",San Miguel,true,2026-03-14T00:00:00,4.6,Lager
Alhambra Special,,Grupo Cervezas Alhambra S.L.,true,2026-03-14T00:00:00,5.4,Lager
Apple crumble White Stout,"Kryddig smak med inslag av äpplen, knäck, ingefära, vörtbröd och kanel.",All In Brewing,true,2026-03-14T00:00:00,8.5,Stout
Imperial Stout,"Rostad smak med inslag av rågbröd, kakao, vanilj, kaffe, dadlar, lakrits och mörk sirap.",All In Brewing,true,2026-03-14T00:00:00,12.2,Imperial Stout
Sour Raspberry Mango & Lime,"Fruktig, mycket syrlig smak med inslag av mango, hallon, ljust bröd och lime.",All In Brewing,true,2026-03-14T00:00:00,5.2,Sour
White,"Kryddig smak med inslag av ljust bröd, koriander, banan och apelsin.",Allagash Brewing Company,true,2026-03-14T00:00:00,4.1,Lager
Coolship Cerise,,Allagash Brewing Company,true,2026-03-14T00:00:00,5.2,Lager
Honeyberry Tumble,,Allagash Brewing Company,true,2026-03-14T00:00:00,4.8,Lager
Stories Told,,Allagash Brewing Company,true,2026-03-14T00:00:00,4.5,Lager
Curieux,"Fruktig, något kryddig smak med liten sötma, inslag av fat, aprikos, vanilj, sockerkaka, torkad ananas, knäck och citrus.",Allagash Brewing Company,true,2026-03-14T00:00:00,5.1,Lager
Foliage Report Autumn Ale,"Nyanserad, fruktig smak med inslag av dadlar, torkade aprikoser, mörkt bröd, nötter, pomerans och sirap.",Allagash Brewing Company,true,2026-03-14T00:00:00,4.8,Lager
Almaza,,Brasserie et Malterie Almaza,true,2026-03-14T00:00:00,5.4,Lager
Nacka IPA,"Humlearomatisk smak med tydlig beska, inslag av apelsinskal, tallkåda, sirapslimpa och grapefrukt.",Alnöl,true,2026-03-14T00:00:00,6.6,India Pale Ale
Spikarna Lager,"Maltig smak med tydlig beska, inslag av sirapslimpa, honung, grapefruktskal, kryddoroch halm.",Alnöl,true,2026-03-14T00:00:00,5.4,Lager
Myggan,"Rostad, maltig smak med liten sötma, inslag av pumpernickel, kakao, russin, kaffe, tobak, peppar och lakrits.",Alnöl,true,2026-03-14T00:00:00,5.4,Lager
Tranviken Lager,"Maltig smak med inslag av ljust bröd, honung, citrus och örter.",Alnöl,true,2026-03-14T00:00:00,5.5,Lager
Korsta Pilsner,"Maltig smak med inslag av knäckebröd, grapefrukt och örter.",Alnöl,true,2026-03-14T00:00:00,4.5,Pilsner
Ambassadörsporter,"Nyanserad, maltig smak med inslag av kavring, kakao, tobak, russin, nötter, pomerans, mörk sirap och lakrits.",Qvänum Mat & Malt,true,2016-12-01T00:00:00,7.8,Porter & Stout
Helles Good Lager,"Maltig smak med inslag av ljust bröd, timjan, honung och citrus.",Amundsen Bryggeri AS,true,2026-03-14T00:00:00,4.1,Lager
Hopbliminal Messages NEIPA,"Fruktig, något humlearomatisk smak med tydlig beska, inslag av grapefrukt, nektarin, honung, ananas och färska örter.",Amundsen Bryggeri AS,true,2026-03-14T00:00:00,7.5,New England IPA
Chuggernaut Hazy Session IPA,"Humlearomatisk, fruktig smak med tydlig beska, inslag av ananas, citronskal, passionsfrukt och sockerkaka.",Amundsen Bryggeri AS,true,2026-03-14T00:00:00,7.3,India Pale Ale
Dessert In a Can Salted Caramel Choc Chip Cookie,"Maltig, mycket söt smak med inslag av choklad, smörkola, vanilj, saltlakrits, havrekaka och kokos.",Amundsen Bryggeri AS,true,2026-03-14T00:00:00,4.4,Lager
Hazyday Hero Hazy Session IPA,"Humlearomatisk smak med inslag av passionsfrukt, ananas, grapefrukt, sockerkaka och örter.",Amundsen Bryggeri AS,true,2026-03-14T00:00:00,5.9,India Pale Ale
Lorita Passionfruit Pale Ale,"Fruktig, humlearomatisk smak med tydlig beska och liten sötma, inslag av passionsfrukt, ananas, granskott, ambrosiakaka och örter.",Amundsen Bryggeri AS,true,2026-03-14T00:00:00,5.5,Pale Ale
Raspberry & Passion Tart Topped W Whipped Marshmallow & Coconut Cream,,Amundsen Bryggeri AS,true,2026-03-14T00:00:00,5.1,Lager
Glazed and Confused 3.0,"Rostad, maltig, söt smak med inslag av chokladkaka, kanel, lönnsirap, russin, sötlakrits, peppar och vaniljfudge.",Amundsen Bryggeri AS,true,2026-03-14T00:00:00,4.5,Lager
Hazyview Hazy IPA,,Amundsen Bryggeri,true,2026-03-14T00:00:00,7,New England IPA
Birds of a feather Hazy IPA,,Amundsen Bryggeri,true,2026-03-14T00:00:00,7.1,New England IPA
"Dragons breath pineapple, passionfruit & mango pastry Sour",,Amundsen Bryggeri,true,2026-03-14T00:00:00,5.1,Sour
Razzle Dazzle Raspberry & Mango Pastry Sour,"Fruktig, syrlig smak med inslag av hallon, mango, sockerkaka, blodapelsin och vanilj.",Amundsen Bryggeri,true,2026-03-14T00:00:00,3.9,Sour
Uncle Pops Christmas Soda Pastry Sour,"Mycket fruktig, syrlig smak med inslag av mango, hallon, björnbär, blodgrapefrukt och sockerkaka.",Amundsen Bryggeri,true,2026-03-14T00:00:00,4.8,Sour
Santas Hop Sack Hazy Orange IPA,"Fruktig, något humlearomatisk smak med tydlig beska, inslag av apelsin, passionsfrukt, rosmarin, sockerkaka, ananas och grapefrukt.",Amundsen Bryggeri,true,2026-03-14T00:00:00,7,India Pale Ale
Night Sleigher Hazy DBL IPA,"Fruktig, humlearomatisk smak med tydlig beska och liten sötma, inslag av ananas, sockerkaka, tallkåda, mango, honung och grapefrukt.",Amundsen Bryggeri,true,2026-03-14T00:00:00,6.7,India Pale Ale
Shades of Green Hazy IPA,,Amundsen Bryggeri,true,2026-03-14T00:00:00,7.6,New England IPA
Cherry Pineapple Lemonade Pastry Sour,,Amundsen Bryggeri,true,2026-03-14T00:00:00,4.1,Sour
Ashes to ashes salted caramel choc chip cookie stout,"Smakrik, rostad, mycket söt öl med inslag av mjuk chokladkaka, kaffe, gräddkola, russin, nötter, vanilj och lakritsfudge.",Amundsen Bryggeri,true,2026-03-14T00:00:00,6,Stout
Barrel aged sticky little fingers,"Rostad, maltig, mycket söt smak med inslag av fat, mjuk chokladkaka, kanel, vanilj, gräddkola, russin, mörk sirap och nötter.",Amundsen Bryggeri,true,2026-03-14T00:00:00,4.6,Lager
Smood Pineapple % Cherry,,Amundsen Bryggeri,true,2026-03-14T00:00:00,4.9,Lager
The Darkening Imp Pastry Stout Chocolate Hazelnut Vanilla,,Amundsen Bryggeri,true,2026-03-14T00:00:00,6.1,Stout
Slopestyle Hazy IPA Collab Outer Range Brewing,,Amundsen Bryggeri,true,2026-03-14T00:00:00,7.2,New England IPA
Apocalyptic Thunder Juice NEIPA,,Amundsen Bryggeri AS,true,2026-03-14T00:00:00,6.9,New England IPA
Ink & Dagger Modern Day IPA,"Humlearomatisk smak med liten sötma och tydlig beska, inslag av grapefrukt, torkad ananas, nektarin och tallkåda.",Amundsen Bryggeri AS,true,2026-03-14T00:00:00,7.4,India Pale Ale
Mango & Vanilla,,Amundsen Bryggeri,true,2026-03-14T00:00:00,4.8,Lager
NEIPA,,Royal Unibrew A/S,true,2026-03-14T00:00:00,6.1,New England IPA
Anarkist Bloody Weizen,,Royal Unibrew A/S,true,2026-03-14T00:00:00,4.7,Wheat Beer
Doppelbock Dunkel,,Klosterbrauerei Andechs,true,2026-03-14T00:00:00,7.9,Bock
Spezial Hell,,Klosterbrauerei Andechs,true,2026-03-14T00:00:00,4.2,Lager
Hell,,Klosterbrauerei Andechs,true,2026-03-14T00:00:00,4,Lager
Weissbier Hell,,Klosterbrauerei Andechs,true,2026-03-14T00:00:00,5.2,Wheat Beer
Anderssons,"Maltig smak med inslag av knäckebröd, mandarin, honung och örter.",Rewine AB,true,2020-11-02T00:00:00,5.2,Ljus lager
Nynäshamns Ångbryggeri AB,"Humlearomatisk, fruktig smak med tydlig beska, inslag av ananas, passionsfrukt, grapefrukt, knäckebröd, pomerans och kryddor.",Nynäshamns Ångbryggeri,true,2026-03-14T00:00:00,4.9,Lager
Österlen Julöl,"Maltig smak med tydlig beska och liten sötma, inslag av sirapslimpa, knäck, apelsinskal och kryddor.",Anno 1953,true,2026-03-14T00:00:00,5.4,Lager
Vinter IPA,"Maltig smak med tydlig beska, inslag av mörkt bröd, kaffe, grapefruktskal och fruktkaka.",Anno 1953,true,2026-03-14T00:00:00,6.2,India Pale Ale
London Black,"Nyanserad, rostad smak med inslag av kavring, tamarind, kaffe, mörk choklad, charkuterier och lakrits.",Anspach and Hobday Brewery,true,2026-03-14T00:00:00,4.8,Lager
Kristin,"Maltig smak med inslag av ljust knäckebröd, honung, ris och citrus.",Kesuddens Hantverksbryggeri,true,2026-03-14T00:00:00,4.8,Lager
Ida,"Maltig smak med inslag av sirap, choklad, dadlar, knäckebröd och apelsin.",Kesuddens Hantverksbryggeri,true,2026-03-14T00:00:00,4,Lager
Asmodeus DIPA,"Humlearomatisk smak med tydlig beska och liten sötma, inslag av grapefrukt, örter, ananas, honung och tallkåda.",Apex Brewing CO,true,2026-03-14T00:00:00,8.4,Double IPA
Pelican Blood DIPA,"Fruktig smak med tydlig beska och liten sötma, inslag av ananas, papaya, vitpeppar, sockerkaka, örter och grapefrukt.",Apex Brewing CO,true,2026-03-14T00:00:00,8,Double IPA
Single Hop IPA,"Fruktig smak med tydlig beska, inslag av ananas, färska örter, krusbär, honung och limeskal.",Apex Brewing CO,true,2026-03-14T00:00:00,7.3,India Pale Ale
